timestamp,severity,if_anomaly,root_cause,recommended_action,packet_loss_ratio
3,normal,0,mobility,handover_optimization + beam_tracking,0.1447
3,normal,1,mobility,handover_optimization + beam_tracking,0.0934
3,degraded,0,combined/other,multi-action (reroute + prioritize),0.4216
3,normal,0,interference,frequency_reallocation + power_control,0.2306
3,degraded,0,combined/other,multi-action (reroute + prioritize),0.424
3,normal,0,interference,frequency_reallocation + power_control,0.3707
3,normal,0,combined/other,multi-action (reroute + prioritize),0.3158
3,degraded,0,interference,frequency_reallocation + power_control,0.4928
3,normal,1,mobility,handover_optimization + beam_tracking,0.3639
3,normal,0,mobility,handover_optimization + beam_tracking,0.375
3,degraded,0,congestion,load_balancing + traffic_throttling,0.6966
3,degraded,0,congestion,load_balancing + traffic_throttling,0.7175
3,degraded,0,congestion,load_balancing + traffic_throttling,0.7022
3,degraded,0,congestion,load_balancing + traffic_throttling,0.6205
3,degraded,0,congestion,load_balancing + traffic_throttling,0.7985
3,degraded,0,congestion,load_balancing + traffic_throttling,0.6901
3,degraded,1,mobility,handover_optimization + beam_tracking,0.5688
3,degraded,1,mobility,handover_optimization + beam_tracking,0.5741
3,degraded,1,congestion,load_balancing + traffic_throttling,0.8665
3,critical,1,congestion,load_balancing + traffic_throttling,0.9596
3,critical,1,congestion,load_balancing + traffic_throttling,0.946
3,degraded,0,congestion,load_balancing + traffic_throttling,0.679
3,critical,1,congestion,load_balancing + traffic_throttling,1.0
3,degraded,0,congestion,load_balancing + traffic_throttling,0.6407
3,degraded,1,mobility,handover_optimization + beam_tracking,0.7354
3,critical,1,mobility,handover_optimization + beam_tracking,0.9986
3,normal,1,interference,frequency_reallocation + power_control,0.3817
3,normal,1,interference,frequency_reallocation + power_control,0.1258
3,normal,1,interference,frequency_reallocation + power_control,0.1258
3,normal,1,interference,frequency_reallocation + power_control,0.1258
3,normal,1,interference,frequency_reallocation + power_control,0.1258
3,normal,1,interference,frequency_reallocation + power_control,0.1258
3,normal,1,interference,frequency_reallocation + power_control,0.3817
3,normal,1,interference,frequency_reallocation + power_control,0.3817
4,critical,1,interference,frequency_reallocation + power_control,1.0
4,critical,1,interference,frequency_reallocation + power_control,0.85
4,critical,1,interference,frequency_reallocation + power_control,1.0
4,critical,1,interference,frequency_reallocation + power_control,1.0
4,critical,1,interference,frequency_reallocation + power_control,1.0
4,critical,1,interference,frequency_reallocation + power_control,0.896667
4,normal,1,mobility,handover_optimization + beam_tracking,0.0
4,normal,1,combined/other,multi-action (reroute + prioritize),0.0
4,normal,1,combined/other,multi-action (reroute + prioritize),0.0
4,degraded,1,congestion,load_balancing + traffic_throttling,0.8975
4,critical,1,congestion,load_balancing + traffic_throttling,0.99875
4,critical,1,congestion,load_balancing + traffic_throttling,1.0
4,critical,1,congestion,load_balancing + traffic_throttling,0.996
4,normal,1,combined/other,multi-action (reroute + prioritize),0.0783
4,normal,1,interference,frequency_reallocation + power_control,0.0249
4,normal,1,combined/other,multi-action (reroute + prioritize),0.0684
4,normal,1,combined/other,multi-action (reroute + prioritize),0.0272
4,normal,1,combined/other,multi-action (reroute + prioritize),0.0664
4,normal,1,interference,frequency_reallocation + power_control,0.0489
4,normal,1,combined/other,multi-action (reroute + prioritize),0.0159
4,normal,1,combined/other,multi-action (reroute + prioritize),0.0077
4,normal,1,combined/other,multi-action (reroute + prioritize),0.0369
4,normal,1,interference,frequency_reallocation + power_control,0.0459
4,normal,0,combined/other,multi-action (reroute + prioritize),0.0474
4,normal,0,interference,frequency_reallocation + power_control,0.0295
4,normal,1,combined/other,multi-action (reroute + prioritize),0.0325
4,normal,0,interference,frequency_reallocation + power_control,0.0173
4,normal,1,mobility,handover_optimization + beam_tracking,0.0591
4,normal,1,mobility,handover_optimization + beam_tracking,0.033
4,normal,0,combined/other,multi-action (reroute + prioritize),0.1155
4,normal,0,interference,frequency_reallocation + power_control,0.1006
4,normal,0,combined/other,multi-action (reroute + prioritize),0.1128
4,normal,0,interference,frequency_reallocation + power_control,0.1245
4,normal,0,combined/other,multi-action (reroute + prioritize),0.1355
4,normal,0,interference,frequency_reallocation + power_control,0.0913
4,normal,0,mobility,handover_optimization + beam_tracking,0.1421
4,normal,0,mobility,handover_optimization + beam_tracking,0.1364
4,normal,0,combined/other,multi-action (reroute + prioritize),0.3487
4,normal,0,interference,frequency_reallocation + power_control,0.383
4,normal,0,combined/other,multi-action (reroute + prioritize),0.3732
4,normal,0,interference,frequency_reallocation + power_control,0.2248
4,degraded,0,combined/other,multi-action (reroute + prioritize),0.4852
4,normal,0,interference,frequency_reallocation + power_control,0.3994
4,degraded,0,mobility,handover_optimization + beam_tracking,0.4118
4,degraded,0,mobility,handover_optimization + beam_tracking,0.5025
4,critical,0,congestion,load_balancing + traffic_throttling,0.9983
4,degraded,0,congestion,load_balancing + traffic_throttling,0.6201
4,critical,0,congestion,load_balancing + traffic_throttling,0.9131
4,degraded,0,congestion,load_balancing + traffic_throttling,0.7727
4,degraded,0,congestion,load_balancing + traffic_throttling,0.5417
4,degraded,0,congestion,load_balancing + traffic_throttling,0.5826
4,critical,1,mobility,handover_optimization + beam_tracking,0.9473
4,degraded,1,mobility,handover_optimization + beam_tracking,0.7961
4,degraded,1,congestion,load_balancing + traffic_throttling,0.8778
4,degraded,0,congestion,load_balancing + traffic_throttling,0.7773
4,critical,1,congestion,load_balancing + traffic_throttling,1.0
4,critical,1,congestion,load_balancing + traffic_throttling,0.9075
4,degraded,0,congestion,load_balancing + traffic_throttling,0.7262
4,degraded,1,congestion,load_balancing + traffic_throttling,0.8443
4,degraded,1,mobility,handover_optimization + beam_tracking,0.7774
4,degraded,1,mobility,handover_optimization + beam_tracking,0.627
4,normal,1,interference,frequency_reallocation + power_control,0.3254
4,normal,1,interference,frequency_reallocation + power_control,0.1108
4,normal,1,interference,frequency_reallocation + power_control,0.1108
4,normal,1,interference,frequency_reallocation + power_control,0.1108
4,normal,1,interference,frequency_reallocation + power_control,0.1108
4,normal,1,interference,frequency_reallocation + power_control,0.1108
4,normal,1,interference,frequency_reallocation + power_control,0.3254
4,normal,1,interference,frequency_reallocation + power_control,0.3254
5,degraded,1,interference,frequency_reallocation + power_control,0.835
5,degraded,1,interference,frequency_reallocation + power_control,0.69
5,critical,1,interference,frequency_reallocation + power_control,0.8825
5,degraded,1,interference,frequency_reallocation + power_control,0.55
5,degraded,1,interference,frequency_reallocation + power_control,0.886667
5,degraded,1,interference,frequency_reallocation + power_control,0.82
5,normal,1,mobility,handover_optimization + beam_tracking,0.0
5,normal,1,combined/other,multi-action (reroute + prioritize),0.0
5,normal,1,combined/other,multi-action (reroute + prioritize),0.0
5,degraded,1,congestion,load_balancing + traffic_throttling,0.63125
5,normal,1,congestion,load_balancing + traffic_throttling,0.3
5,critical,1,congestion,load_balancing + traffic_throttling,0.902
5,normal,1,congestion,load_balancing + traffic_throttling,0.242
5,normal,1,combined/other,multi-action (reroute + prioritize),0.0271
5,normal,1,interference,frequency_reallocation + power_control,0.0719
5,normal,1,combined/other,multi-action (reroute + prioritize),0.0293
5,normal,1,combined/other,multi-action (reroute + prioritize),0.0083
5,normal,1,combined/other,multi-action (reroute + prioritize),0.0102
5,normal,1,interference,frequency_reallocation + power_control,0.0385
5,normal,1,combined/other,multi-action (reroute + prioritize),0.0006
5,normal,1,combined/other,multi-action (reroute + prioritize),0.0077
5,normal,0,combined/other,multi-action (reroute + prioritize),0.0451
5,normal,0,interference,frequency_reallocation + power_control,0.0023
5,normal,0,combined/other,multi-action (reroute + prioritize),0.0599
5,normal,0,interference,frequency_reallocation + power_control,0.0279
5,normal,1,combined/other,multi-action (reroute + prioritize),0.0237
5,normal,0,interference,frequency_reallocation + power_control,0.0445
5,normal,1,mobility,handover_optimization + beam_tracking,0.0599
5,normal,1,mobility,handover_optimization + beam_tracking,0.069
5,normal,0,combined/other,multi-action (reroute + prioritize),0.1353
5,normal,0,interference,frequency_reallocation + power_control,0.111
5,normal,0,combined/other,multi-action (reroute + prioritize),0.0825
5,normal,0,interference,frequency_reallocation + power_control,0.154
5,normal,0,combined/other,multi-action (reroute + prioritize),0.1471
5,normal,0,interference,frequency_reallocation + power_control,0.0837
5,normal,0,mobility,handover_optimization + beam_tracking,0.1424
5,normal,0,mobility,handover_optimization + beam_tracking,0.1088
5,normal,0,combined/other,multi-action (reroute + prioritize),0.3634
5,normal,0,interference,frequency_reallocation + power_control,0.3438
5,normal,0,combined/other,multi-action (reroute + prioritize),0.246
5,normal,0,interference,frequency_reallocation + power_control,0.3408
5,normal,0,combined/other,multi-action (reroute + prioritize),0.287
5,normal,0,interference,frequency_reallocation + power_control,0.2454
5,degraded,0,mobility,handover_optimization + beam_tracking,0.4388
5,normal,0,mobility,handover_optimization + beam_tracking,0.2457
5,degraded,0,congestion,load_balancing + traffic_throttling,0.5632
5,critical,0,congestion,load_balancing + traffic_throttling,0.9465
5,degraded,0,congestion,load_balancing + traffic_throttling,0.5707
5,degraded,0,congestion,load_balancing + traffic_throttling,0.8727
5,degraded,0,congestion,load_balancing + traffic_throttling,0.8343
5,degraded,0,congestion,load_balancing + traffic_throttling,0.8978
5,degraded,1,mobility,handover_optimization + beam_tracking,0.6533
5,degraded,1,mobility,handover_optimization + beam_tracking,0.8557
5,degraded,0,congestion,load_balancing + traffic_throttling,0.8099
5,critical,1,congestion,load_balancing + traffic_throttling,1.0
5,critical,1,congestion,load_balancing + traffic_throttling,1.0
5,critical,1,congestion,load_balancing + traffic_throttling,1.0
5,critical,1,congestion,load_balancing + traffic_throttling,0.9415
5,critical,1,congestion,load_balancing + traffic_throttling,1.0
5,critical,1,mobility,handover_optimization + beam_tracking,1.0
5,critical,1,mobility,handover_optimization + beam_tracking,0.9337
5,normal,1,interference,frequency_reallocation + power_control,0.3495
5,normal,1,interference,frequency_reallocation + power_control,0.1172
5,normal,1,interference,frequency_reallocation + power_control,0.1172
5,normal,1,interference,frequency_reallocation + power_control,0.1172
5,normal,1,interference,frequency_reallocation + power_control,0.1172
5,normal,1,interference,frequency_reallocation + power_control,0.1172
5,normal,1,interference,frequency_reallocation + power_control,0.3495
5,normal,1,interference,frequency_reallocation + power_control,0.3495
6,normal,1,combined/other,multi-action (reroute + prioritize),0.075
6,normal,1,interference,frequency_reallocation + power_control,0.01
6,normal,1,combined/other,multi-action (reroute + prioritize),0.3275
6,degraded,1,interference,frequency_reallocation + power_control,0.61
6,degraded,1,combined/other,multi-action (reroute + prioritize),0.571667
6,critical,1,interference,frequency_reallocation + power_control,0.998333
6,normal,1,mobility,handover_optimization + beam_tracking,0.0
6,normal,1,combined/other,multi-action (reroute + prioritize),0.0
6,normal,1,combined/other,multi-action (reroute + prioritize),0.0
6,critical,1,congestion,load_balancing + traffic_throttling,0.97625
6,critical,1,congestion,load_balancing + traffic_throttling,0.96125
6,degraded,1,congestion,load_balancing + traffic_throttling,0.721
6,critical,1,congestion,load_balancing + traffic_throttling,0.997
6,normal,1,combined/other,multi-action (reroute + prioritize),0.0337
6,normal,1,interference,frequency_reallocation + power_control,0.0107
6,normal,1,combined/other,multi-action (reroute + prioritize),0.0774
6,normal,1,combined/other,multi-action (reroute + prioritize),0.0775
6,normal,1,combined/other,multi-action (reroute + prioritize),0.0195
6,normal,1,interference,frequency_reallocation + power_control,0.0774
6,normal,1,combined/other,multi-action (reroute + prioritize),0.0227
6,normal,1,combined/other,multi-action (reroute + prioritize),0.0314
6,normal,1,combined/other,multi-action (reroute + prioritize),0.0771
6,normal,1,interference,frequency_reallocation + power_control,0.0721
6,normal,0,combined/other,multi-action (reroute + prioritize),0.0231
6,normal,0,interference,frequency_reallocation + power_control,0.0562
6,normal,1,combined/other,multi-action (reroute + prioritize),0.074
6,normal,1,interference,frequency_reallocation + power_control,0.0634
6,normal,1,mobility,handover_optimization + beam_tracking,0.0262
6,normal,1,mobility,handover_optimization + beam_tracking,0.0057
6,normal,0,combined/other,multi-action (reroute + prioritize),0.1234
6,normal,0,interference,frequency_reallocation + power_control,0.0968
6,normal,0,combined/other,multi-action (reroute + prioritize),0.1299
6,normal,0,interference,frequency_reallocation + power_control,0.1167
6,normal,0,combined/other,multi-action (reroute + prioritize),0.1522
6,normal,0,interference,frequency_reallocation + power_control,0.1184
6,normal,0,mobility,handover_optimization + beam_tracking,0.0998
6,normal,0,mobility,handover_optimization + beam_tracking,0.1243
6,normal,0,combined/other,multi-action (reroute + prioritize),0.2748
6,degraded,0,interference,frequency_reallocation + power_control,0.4558
6,normal,0,combined/other,multi-action (reroute + prioritize),0.2241
6,degraded,0,interference,frequency_reallocation + power_control,0.4882
6,normal,0,combined/other,multi-action (reroute + prioritize),0.328
6,degraded,0,interference,frequency_reallocation + power_control,0.4548
6,normal,0,mobility,handover_optimization + beam_tracking,0.2273
6,degraded,0,mobility,handover_optimization + beam_tracking,0.434
6,degraded,0,congestion,load_balancing + traffic_throttling,0.7389
6,critical,1,congestion,load_balancing + traffic_throttling,0.9103
6,degraded,0,congestion,load_balancing + traffic_throttling,0.7259
6,degraded,0,congestion,load_balancing + traffic_throttling,0.6738
6,degraded,0,congestion,load_balancing + traffic_throttling,0.8556
6,critical,0,congestion,load_balancing + traffic_throttling,0.9645
6,degraded,1,mobility,handover_optimization + beam_tracking,0.6431
6,degraded,0,mobility,handover_optimization + beam_tracking,0.68
6,degraded,1,congestion,load_balancing + traffic_throttling,0.7288
6,critical,0,congestion,load_balancing + traffic_throttling,1.0
6,degraded,0,congestion,load_balancing + traffic_throttling,0.6737
6,degraded,1,congestion,load_balancing + traffic_throttling,0.8837
6,degraded,0,congestion,load_balancing + traffic_throttling,0.6876
6,critical,1,congestion,load_balancing + traffic_throttling,1.0
6,critical,1,mobility,handover_optimization + beam_tracking,1.0
6,degraded,1,mobility,handover_optimization + beam_tracking,0.6595
6,degraded,1,interference,frequency_reallocation + power_control,0.4139
6,normal,1,interference,frequency_reallocation + power_control,0.1344
6,normal,1,interference,frequency_reallocation + power_control,0.1344
6,normal,0,interference,frequency_reallocation + power_control,0.1344
6,normal,0,interference,frequency_reallocation + power_control,0.1344
6,normal,0,interference,frequency_reallocation + power_control,0.1344
6,degraded,0,interference,frequency_reallocation + power_control,0.4139
6,degraded,0,interference,frequency_reallocation + power_control,0.4139
7,critical,1,interference,frequency_reallocation + power_control,0.905
7,critical,1,interference,frequency_reallocation + power_control,0.995
7,critical,1,interference,frequency_reallocation + power_control,0.96
7,degraded,1,interference,frequency_reallocation + power_control,0.585
7,critical,1,interference,frequency_reallocation + power_control,0.97
7,degraded,1,interference,frequency_reallocation + power_control,0.816667
7,normal,1,mobility,handover_optimization + beam_tracking,0.0
7,normal,1,combined/other,multi-action (reroute + prioritize),0.0
7,normal,1,combined/other,multi-action (reroute + prioritize),0.0
7,critical,1,congestion,load_balancing + traffic_throttling,1.0
7,critical,1,congestion,load_balancing + traffic_throttling,0.78875
7,critical,1,congestion,load_balancing + traffic_throttling,0.986
7,degraded,1,congestion,load_balancing + traffic_throttling,0.814
7,normal,1,combined/other,multi-action (reroute + prioritize),0.0154
7,normal,1,interference,frequency_reallocation + power_control,0.0072
7,normal,1,combined/other,multi-action (reroute + prioritize),0.0738
7,normal,1,combined/other,multi-action (reroute + prioritize),0.0293
7,normal,1,combined/other,multi-action (reroute + prioritize),0.0661
7,normal,1,interference,frequency_reallocation + power_control,0.0122
7,normal,1,combined/other,multi-action (reroute + prioritize),0.0203
7,normal,1,combined/other,multi-action (reroute + prioritize),0.0365
7,normal,0,combined/other,multi-action (reroute + prioritize),0.0536
7,normal,0,interference,frequency_reallocation + power_control,0.0461
7,normal,1,combined/other,multi-action (reroute + prioritize),0.032
7,normal,0,interference,frequency_reallocation + power_control,0.0034
7,normal,1,combined/other,multi-action (reroute + prioritize),0.0027
7,normal,1,interference,frequency_reallocation + power_control,0.0513
7,normal,1,mobility,handover_optimization + beam_tracking,0.0008
7,normal,1,mobility,handover_optimization + beam_tracking,0.0044
7,normal,0,combined/other,multi-action (reroute + prioritize),0.0931
7,normal,0,interference,frequency_reallocation + power_control,0.1027
7,normal,0,combined/other,multi-action (reroute + prioritize),0.1532
7,normal,0,interference,frequency_reallocation + power_control,0.1525
7,normal,0,combined/other,multi-action (reroute + prioritize),0.1339
7,normal,0,interference,frequency_reallocation + power_control,0.0808
7,normal,0,mobility,handover_optimization + beam_tracking,0.1352
7,normal,0,mobility,handover_optimization + beam_tracking,0.1274
7,normal,0,combined/other,multi-action (reroute + prioritize),0.3671
7,degraded,0,interference,frequency_reallocation + power_control,0.4046
7,degraded,0,combined/other,multi-action (reroute + prioritize),0.4758
7,degraded,0,interference,frequency_reallocation + power_control,0.4359
7,degraded,0,combined/other,multi-action (reroute + prioritize),0.4824
7,normal,0,interference,frequency_reallocation + power_control,0.2674
7,normal,0,mobility,handover_optimization + beam_tracking,0.22
7,normal,0,mobility,handover_optimization + beam_tracking,0.2279
7,critical,1,congestion,load_balancing + traffic_throttling,0.9907
7,critical,1,congestion,load_balancing + traffic_throttling,1.0
7,degraded,0,congestion,load_balancing + traffic_throttling,0.7392
7,degraded,0,congestion,load_balancing + traffic_throttling,0.677
7,degraded,0,congestion,load_balancing + traffic_throttling,0.6376
7,degraded,0,congestion,load_balancing + traffic_throttling,0.766
7,degraded,1,mobility,handover_optimization + beam_tracking,0.7695
7,degraded,1,mobility,handover_optimization + beam_tracking,0.8064
7,degraded,1,congestion,load_balancing + traffic_throttling,0.7797
7,degraded,1,congestion,load_balancing + traffic_throttling,0.8505
7,critical,1,congestion,load_balancing + traffic_throttling,0.9668
