timestamp,ue_id,sinr_dl_db,mcs_dl,throughput_mbps,delay_ms,jitter_ms,packet_loss_ratio,prb_utilization,retransmissions,cqi,load_level,mobility_speed,shadowing_enabled,traffic_type,sla_violations,severity,severity_pred,severity_final,sla_viol_delay_ms,sla_viol_jitter_ms,sla_viol_packet_loss_ratio,sla_viol_throughput_mbps
31,1,-7.13647,0,0.284896,305.947,16.9688,0.855,3,354,0,1,0,0,VoIP,3,HIGH,HIGH,HIGH,1,1,1,0
32,1,-6.57877,0,1.20835,27.8114,1.55408,0.385,5,34,0,1,0,0,VoIP,1,MEDIUM,HIGH,HIGH,0,0,1,0
33,1,-30.4922,0,0.0,0.0,6.95652,1.0,6,395,0,1,0,0,VoIP,2,MEDIUM,HIGH,HIGH,0,0,1,1
34,1,-15.3486,0,0.117888,469.279,26.5794,0.94,10,678,0,1,0,0,VoIP,3,HIGH,HIGH,HIGH,1,1,1,0
35,1,-20.5495,0,0.255424,208.913,38.8462,0.87,3,362,0,1,0,0,VoIP,3,HIGH,MEDIUM,MEDIUM,1,1,1,0
36,1,-18.6051,0,0.265248,264.05,73.65,0.865,8,298,0,1,0,0,VoIP,3,HIGH,MEDIUM,MEDIUM,1,1,1,0
37,1,-23.3174,0,0.0,0.0,20.5769,1.0,8,455,0,1,0,0,VoIP,3,HIGH,MEDIUM,MEDIUM,0,1,1,1
38,1,-11.9328,0,0.029472,862.052,90.9087,0.985,3,339,0,1,0,0,VoIP,4,HIGH,MEDIUM,MEDIUM,1,1,1,1
39,1,7.87359,14,2.11216,19.5482,2.34426,0.0,5,22,8,1,0,0,VoIP,0,LOW,MEDIUM,MEDIUM,0,0,0,0
40,1,-16.2212,0,0.009824,887.886,134.512,0.995,5,515,0,1,0,0,VoIP,4,HIGH,MEDIUM,MEDIUM,1,1,1,1
41,1,-5.01304,0,0.579616,142.65,5.29699,0.705,7,0,1,1,0,0,VoIP,2,MEDIUM,MEDIUM,MEDIUM,1,0,1,0
42,1,-5.01304,0,0.579616,142.65,5.29699,0.705,7,0,1,1,0,0,VoIP,2,MEDIUM,MEDIUM,MEDIUM,1,0,1,0
43,1,-10.6686,0,0.284896,157.359,18.08,0.855,8,35,0,1,0,0,VoIP,3,HIGH,HIGH,HIGH,1,1,1,0
44,1,-8.44516,0,0.216128,335.081,78.4947,0.89,3,76,0,1,0,0,VoIP,3,HIGH,HIGH,HIGH,1,1,1,0
45,1,-13.7817,0,0.009824,1127.67,79.5204,0.995,7,79,0,1,0,0,VoIP,4,HIGH,HIGH,HIGH,1,1,1,1
46,1,-9.72888,0,0.137536,136.289,3.86633,0.93,7,482,0,1,0,0,VoIP,2,MEDIUM,HIGH,HIGH,1,0,1,0
47,1,-15.4554,0,0.058944,1006.89,74.75,0.97,3,502,0,1,0,0,VoIP,4,HIGH,HIGH,HIGH,1,1,1,1
48,1,-9.4447,0,0.058944,778.862,70.819,0.97,7,105,0,1,0,0,VoIP,4,HIGH,HIGH,HIGH,1,1,1,1
49,1,-24.9969,0,0.0,0.0,4.16667,1.0,1,43,0,1,0,0,VoIP,2,MEDIUM,LOW,LOW,0,0,1,1
50,1,16.8576,24,1.0217,81.0801,4.75104,0.48,2,1,13,1,0,0,VoIP,2,MEDIUM,LOW,LOW,1,0,1,0
51,1,-12.0509,0,0.04912,561.857,42.2812,0.975,5,254,0,1,0,0,VoIP,4,HIGH,LOW,LOW,1,1,1,1
52,1,-28.1043,0,0.0,0.0,0.0,1.0,4,86,0,1,0,0,VoIP,2,MEDIUM,HIGH,HIGH,0,0,1,1
53,1,-7.68551,0,0.117888,441.165,26.9621,0.94,3,290,0,1,0,0,VoIP,3,HIGH,HIGH,HIGH,1,1,1,0
54,1,1.9838,6,1.93533,11.8969,2.14075,0.015,1,13,4,1,0,0,VoIP,1,MEDIUM,HIGH,HIGH,0,0,1,0
55,1,-5.66999,0,0.530496,151.165,14.3228,0.73,3,226,0,1,0,0,VoIP,3,HIGH,HIGH,HIGH,1,1,1,0
56,1,-1.26586,4,0.893984,83.8268,2.85469,0.545,3,6,3,1,0,0,VoIP,2,MEDIUM,MEDIUM,MEDIUM,1,0,1,0
57,1,-30.4922,0,0.0,0.0,6.95652,1.0,4,427,0,1,0,0,VoIP,2,MEDIUM,MEDIUM,MEDIUM,0,0,1,1
58,1,-15.3486,0,0.039296,872.35,30.4606,0.98,9,254,0,1,0,0,VoIP,4,HIGH,MEDIUM,MEDIUM,1,1,1,1
59,1,-21.4116,0,0.2456,210.057,46.0672,0.875,4,244,0,1,0,0,VoIP,3,HIGH,MEDIUM,MEDIUM,1,1,1,0
60,1,-18.6051,0,0.0,0.0,73.65,1.0,5,294,0,1,0,0,VoIP,3,HIGH,MEDIUM,MEDIUM,0,1,1,1
61,1,-23.3174,0,0.0,0.0,20.5769,1.0,3,597,0,1,0,0,VoIP,3,HIGH,MEDIUM,MEDIUM,0,1,1,1
62,1,-14.1774,0,0.284896,357.708,82.0881,0.855,5,154,0,1,0,0,VoIP,3,HIGH,MEDIUM,MEDIUM,1,1,1,0
63,1,7.87359,14,1.93533,15.2922,2.29963,0.015,1,6,8,1,0,0,VoIP,1,MEDIUM,MEDIUM,MEDIUM,0,0,1,0
64,1,-8.33356,0,0.029472,722.671,140.611,0.985,3,486,0,1,0,0,VoIP,4,HIGH,HIGH,HIGH,1,1,1,1
65,1,-6.88294,0,0.58944,86.1095,5.90312,0.7,3,64,0,1,0,0,VoIP,2,MEDIUM,HIGH,HIGH,1,0,1,0
66,1,-6.88294,0,0.58944,86.1095,5.90312,0.7,3,64,0,1,0,0,VoIP,2,MEDIUM,HIGH,HIGH,1,0,1,0
67,1,-13.8523,0,0.29472,255.436,34.7551,0.85,10,319,0,1,0,0,VoIP,3,HIGH,HIGH,HIGH,1,1,1,0
68,1,-8.44516,0,0.019648,1038.96,110.096,0.99,4,75,0,1,0,0,VoIP,4,HIGH,HIGH,HIGH,1,1,1,1
69,1,19.631,26,0.235776,366.642,103.556,0.88,2,136,14,1,0,0,VoIP,3,HIGH,HIGH,HIGH,1,1,1,0
70,1,-9.72888,0,0.009824,833.457,13.7093,0.995,5,151,0,1,0,0,VoIP,4,HIGH,LOW,LOW,1,1,1,1
71,1,-15.4554,0,0.078592,1024.01,39.5,0.96,3,499,0,1,0,0,VoIP,4,HIGH,LOW,LOW,1,1,1,1
72,1,-9.4447,0,0.068768,511.498,74.2741,0.965,5,176,0,1,0,0,VoIP,4,HIGH,LOW,LOW,1,1,1,1
73,1,-24.9969,0,0.0,0.0,4.16667,1.0,1,4,0,1,0,0,VoIP,2,MEDIUM,HIGH,HIGH,0,0,1,1
74,1,-12.6704,0,0.255424,99.4983,6.83467,0.87,4,499,0,1,0,0,VoIP,2,MEDIUM,HIGH,HIGH,1,0,1,0
75,1,-9.80775,0,0.510848,191.237,31.9743,0.74,2,81,0,1,0,0,VoIP,3,HIGH,HIGH,HIGH,1,1,1,0
76,1,-28.1043,0,0.0,0.0,0.0,1.0,3,195,0,1,0,0,VoIP,2,MEDIUM,MEDIUM,MEDIUM,0,0,1,1
77,1,-7.68551,0,0.127712,559.836,27.8687,0.935,3,261,0,1,0,0,VoIP,3,HIGH,MEDIUM,MEDIUM,1,1,1,0
78,1,-6.27267,0,1.46378,28.7318,2.22573,0.255,3,8,0,1,0,0,VoIP,1,MEDIUM,MEDIUM,MEDIUM,0,0,1,0
79,1,-5.66999,0,0.363488,221.617,12.2143,0.815,2,1,0,1,0,0,VoIP,3,HIGH,MEDIUM,MEDIUM,1,1,1,0
80,1,3.16875,8,1.60131,31.5579,2.41431,0.185,4,10,5,1,0,0,VoIP,1,MEDIUM,MEDIUM,MEDIUM,0,0,1,0
81,1,-30.4922,0,0.0,0.0,6.95652,1.0,3,116,0,1,0,0,VoIP,2,MEDIUM,MEDIUM,MEDIUM,0,0,1,1
82,1,-23.9136,0,0.530496,192.388,33.562,0.73,2,364,0,1,0,0,VoIP,3,HIGH,MEDIUM,MEDIUM,1,1,1,0
83,1,-21.4116,0,0.0,0.0,46.0672,1.0,5,223,0,1,0,0,VoIP,3,HIGH,MEDIUM,MEDIUM,0,1,1,1
84,1,-10.9906,0,0.255424,310.888,100.676,0.87,3,169,0,1,0,0,VoIP,3,HIGH,MEDIUM,MEDIUM,1,1,1,0
85,1,-23.2034,0,0.451904,100.898,27.7946,0.77,3,552,0,1,0,0,VoIP,3,HIGH,HIGH,HIGH,1,1,1,0
86,1,9.9682,16,1.9255,15.1557,2.27767,0.02,1,4,9,1,0,0,VoIP,1,MEDIUM,HIGH,HIGH,0,0,1,0
87,1,-20.1943,0,0.039296,683.171,129.555,0.98,3,513,0,1,0,0,VoIP,4,HIGH,HIGH,HIGH,1,1,1,1
88,1,-7.12135,0,0.34384,105.124,9.81955,0.825,2,202,0,1,0,0,VoIP,2,MEDIUM,HIGH,HIGH,1,0,1,0
89,1,-7.12135,0,0.34384,105.124,9.81955,0.825,2,202,0,1,0,0,VoIP,2,MEDIUM,HIGH,HIGH,1,0,1,0
90,1,-13.8523,0,0.009824,1437.53,40.9946,0.995,4,148,0,1,0,0,VoIP,4,HIGH,MEDIUM,MEDIUM,1,1,1,1
91,1,-8.44516,0,0.108064,800.249,121.316,0.945,4,223,0,1,0,0,VoIP,3,HIGH,LOW,LOW,1,1,1,0
92,1,-15.8797,0,0.383136,179.497,69.8697,0.805,4,186,0,1,0,0,VoIP,3,HIGH,LOW,LOW,1,1,1,0
93,1,-18.6587,0,0.952928,97.7495,17.1314,0.515,2,56,0,1,0,0,VoIP,3,HIGH,LOW,LOW,1,1,1,0
94,1,-29.3103,28,0.29472,313.517,42.7314,0.85,2,256,0,1,0,0,VoIP,3,HIGH,HIGH,HIGH,1,1,1,0
95,1,-9.4447,0,0.04912,785.457,100.337,0.975,2,159,0,1,0,0,VoIP,4,HIGH,HIGH,HIGH,1,1,1,1
96,1,-24.9969,0,0.0,0.0,4.16667,1.0,1,0,0,1,0,0,VoIP,2,MEDIUM,MEDIUM,MEDIUM,0,0,1,1
97,1,-10.1841,0,0.334016,177.489,10.3813,0.83,3,279,0,1,0,0,VoIP,3,HIGH,HIGH,HIGH,1,1,1,0
98,1,-6.62997,0,0.334016,288.73,43.4339,0.83,5,89,0,1,0,0,VoIP,3,HIGH,LOW,LOW,1,1,1,0
99,1,-28.1043,0,0.0,0.0,0.0,1.0,5,215,0,1,0,0,VoIP,2,MEDIUM,LOW,LOW,0,0,1,1
100,1,-6.16454,0,0.471184,139.921,23.2,0.76,4,237,0,1,0,0,VoIP,3,HIGH,MEDIUM,MEDIUM,1,1,1,0
101,1,28.7027,28,0.903808,92.0953,2.75954,0.54,2,7,15,1,0,0,VoIP,2,MEDIUM,MEDIUM,MEDIUM,1,0,1,0
102,1,-5.66999,0,0.412608,200.166,10.2198,0.79,3,0,0,1,0,0,VoIP,3,HIGH,MEDIUM,MEDIUM,1,1,1,0
103,1,28.329,28,2.07286,35.6863,3.03836,0.0,2,14,15,1,0,0,VoIP,0,LOW,MEDIUM,MEDIUM,0,0,0,0
104,1,-28.3708,0,0.2456,461.829,81.0045,0.875,7,556,0,1,0,0,VoIP,3,HIGH,MEDIUM,MEDIUM,1,1,1,0
105,1,-23.9136,0,0.0,0.0,33.562,1.0,10,416,0,1,0,0,VoIP,3,HIGH,MEDIUM,MEDIUM,0,1,1,1
106,1,-21.4116,0,0.0,0.0,46.0672,1.0,4,326,0,1,0,0,VoIP,3,HIGH,HIGH,HIGH,0,1,1,1
107,1,-8.91499,0,0.461728,228.556,67.4792,0.765,9,412,0,1,0,0,VoIP,3,HIGH,HIGH,HIGH,1,1,1,0
108,1,-23.2034,0,0.0,0.0,27.7946,1.0,4,322,0,1,0,0,VoIP,3,HIGH,HIGH,HIGH,0,1,1,1
109,1,13.5785,20,1.95498,9.32828,2.03805,0.005,3,2,11,1,0,0,VoIP,0,LOW,HIGH,HIGH,0,0,0,0
110,1,-20.1943,0,0.0,0.0,129.555,1.0,3,706,0,1,0,0,VoIP,3,HIGH,HIGH,HIGH,0,1,1,1
111,1,-7.12135,0,0.058944,432.433,10.8166,0.97,3,217,0,1,0,0,VoIP,4,HIGH,HIGH,HIGH,1,1,1,1
112,1,-7.12135,0,0.058944,432.433,10.8166,0.97,3,217,0,1,0,0,VoIP,4,HIGH,LOW,LOW,1,1,1,1
113,1,-13.8523,0,0.0,0.0,40.9946,1.0,3,203,0,1,0,0,VoIP,3,HIGH,LOW,LOW,0,1,1,1
114,1,-22.7844,0,0.275072,76.1102,77.6376,0.86,5,311,0,1,0,0,VoIP,3,HIGH,LOW,LOW,1,1,1,0
115,1,-1.29028,28,0.255424,99.4242,59.1569,0.87,2,2,3,1,0,0,VoIP,3,HIGH,HIGH,HIGH,1,1,1,0
116,1,-18.6587,0,0.0,0.0,17.1314,1.0,2,13,0,1,0,0,VoIP,3,HIGH,HIGH,HIGH,0,1,1,1
117,1,-29.3103,0,0.0,0.0,42.7314,1.0,3,398,0,1,0,0,VoIP,3,HIGH,HIGH,HIGH,0,1,1,1
118,1,24.1273,28,0.275072,363.904,97.3367,0.86,2,70,15,1,0,0,VoIP,3,HIGH,HIGH,HIGH,1,1,1,0
119,1,-24.9969,0,0.0,0.0,4.16667,1.0,4,111,0,1,0,0,VoIP,2,MEDIUM,LOW,LOW,0,0,1,1
120,1,-10.1841,0,0.029472,947.79,11.9232,0.985,4,156,0,1,0,0,VoIP,4,HIGH,MEDIUM,MEDIUM,1,1,1,1
121,1,-6.62997,0,0.609088,130.519,32.2212,0.69,4,26,0,1,0,0,VoIP,3,HIGH,MEDIUM,MEDIUM,1,1,1,0
122,1,-10.0162,0,0.0,0.0,0.0,1.0,2,283,0,1,0,0,VoIP,2,MEDIUM,MEDIUM,MEDIUM,0,0,1,1
123,1,-6.16454,0,0.481376,161.256,17.8661,0.755,2,37,0,1,0,0,VoIP,3,HIGH,MEDIUM,MEDIUM,1,1,1,0
124,1,-5.66999,0,0.412608,200.6,9.61275,0.79,3,2,0,1,0,0,VoIP,2,MEDIUM,MEDIUM,MEDIUM,1,0,1,0
125,1,5.87192,12,1.94515,10.1754,2.66742,0.01,6,7,7,1,0,0,VoIP,0,LOW,MEDIUM,MEDIUM,0,0,0,0
126,1,6.61709,12,0.0,0.0,81.0045,1.0,6,918,7,1,0,0,VoIP,3,HIGH,MEDIUM,MEDIUM,0,1,1,1
127,1,-12.1564,0,0.2456,234.729,35.2451,0.875,3,617,0,1,0,0,VoIP,3,HIGH,LOW,LOW,1,1,1,0
128,1,-21.4116,0,0.0,0.0,46.0672,1.0,4,234,0,1,0,0,VoIP,3,HIGH,HIGH,HIGH,0,1,1,1
129,1,-12.0426,0,0.461728,119.392,52.7167,0.765,6,341,0,1,0,0,VoIP,3,HIGH,HIGH,HIGH,1,1,1,0
130,1,-23.2034,0,0.0,0.0,27.7946,1.0,3,701,0,1,0,0,VoIP,3,HIGH,MEDIUM,MEDIUM,0,1,1,1
131,1,13.5785,20,1.9648,4.02642,1.70496,0.0,3,0,11,1,0,0,VoIP,0,LOW,MEDIUM,MEDIUM,0,0,0,0
132,1,-20.1943,0,0.0,0.0,129.555,1.0,4,577,0,1,0,0,VoIP,3,HIGH,HIGH,HIGH,0,1,1,1
133,1,-7.12135,0,0.04912,598.914,12.3071,0.975,3,210,0,1,0,0,VoIP,4,HIGH,LOW,LOW,1,1,1,1
134,1,-7.12135,0,0.04912,598.914,12.3071,0.975,3,210,0,1,0,0,VoIP,4,HIGH,LOW,LOW,1,1,1,1
135,1,-13.8523,0,0.068768,1147.95,46.3255,0.965,10,287,0,1,0,0,VoIP,4,HIGH,LOW,LOW,1,1,1,1
136,1,-22.7844,0,0.0,0.0,77.6376,1.0,8,323,0,1,0,0,VoIP,3,HIGH,MEDIUM,MEDIUM,0,1,1,1
137,1,-18.3054,0,1.53254,66.9054,33.809,0.22,4,86,0,1,0,0,VoIP,3,HIGH,HIGH,HIGH,1,1,1,0
138,1,-16.9161,0,0.0,0.0,17.1314,1.0,2,37,0,1,0,0,VoIP,3,HIGH,MEDIUM,MEDIUM,0,1,1,1
139,1,-29.3103,0,0.0,0.0,42.7314,1.0,3,756,0,1,0,0,VoIP,3,HIGH,HIGH,HIGH,0,1,1,1
140,1,-19.2954,0,0.019648,4.02856,94.6329,0.99,9,327,0,1,0,0,VoIP,3,HIGH,MEDIUM,MEDIUM,0,1,1,1
141,1,-22.3282,0,0.0,0.0,4.16667,1.0,4,246,0,1,0,0,VoIP,2,MEDIUM,MEDIUM,MEDIUM,0,0,1,1
142,1,-10.1841,0,0.14736,512.162,14.9736,0.925,4,308,0,1,0,0,VoIP,3,HIGH,MEDIUM,MEDIUM,1,1,1,0
143,1,-6.62997,0,0.794624,126.412,25.171,0.595,4,20,0,1,0,0,VoIP,3,HIGH,MEDIUM,MEDIUM,1,1,1,0
144,1,-25.956,0,0.0,0.0,0.0,1.0,3,430,0,1,0,0,VoIP,2,MEDIUM,MEDIUM,MEDIUM,0,0,1,1
145,1,14.7131,20,0.668032,130.879,14.09,0.66,3,36,11,1,0,0,VoIP,3,HIGH,MEDIUM,MEDIUM,1,1,1,0
146,1,-5.66999,0,0.412608,196.904,9.0062,0.79,3,1,0,1,0,0,VoIP,2,MEDIUM,MEDIUM,MEDIUM,1,0,1,0
147,1,26.3762,28,1.94515,10.3554,2.47793,0.01,2,4,15,1,0,0,VoIP,0,LOW,MEDIUM,MEDIUM,0,0,0,0
148,1,-28.8878,0,0.520672,182.25,49.5566,0.735,4,583,0,1,0,0,VoIP,3,HIGH,HIGH,HIGH,1,1,1,0
149,1,-12.1564,0,0.078592,592.805,38.2899,0.96,9,533,0,1,0,0,VoIP,4,HIGH,HIGH,HIGH,1,1,1,1
150,1,-21.4116,0,0.0,0.0,46.0672,1.0,4,159,0,1,0,0,VoIP,3,HIGH,HIGH,HIGH,0,1,1,1
151,1,-12.0426,0,0.039296,1010.94,55.9708,0.98,3,169,0,1,0,0,VoIP,4,HIGH,HIGH,HIGH,1,1,1,1
152,1,-23.2034,0,0.0,0.0,27.7946,1.0,2,335,0,1,0,0,VoIP,3,HIGH,HIGH,HIGH,0,1,1,1
153,1,4.8525,10,1.77814,10.0672,1.64238,0.095,2,4,6,1,0,0,VoIP,1,MEDIUM,HIGH,HIGH,0,0,1,0
154,1,-23.7774,0,0.216128,191.074,71.3204,0.89,6,579,0,1,0,0,VoIP,3,HIGH,LOW,LOW,1,1,1,0
155,1,-7.12135,0,0.029472,598.695,13.5455,0.985,3,214,0,1,0,0,VoIP,4,HIGH,LOW,LOW,1,1,1,1
156,1,-7.12135,0,0.029472,598.695,13.5455,0.985,3,214,0,1,0,0,VoIP,4,HIGH,LOW,LOW,1,1,1,1
157,1,-13.8523,0,0.088416,672.759,47.4186,0.955,5,269,0,1,0,0,VoIP,4,HIGH,HIGH,HIGH,1,1,1,1
158,1,-22.7844,0,0.0,0.0,77.6376,1.0,3,50,0,1,0,0,VoIP,3,HIGH,HIGH,HIGH,0,1,1,1
159,1,5.51119,12,1.32624,69.4677,25.8265,0.325,6,95,7,1,0,0,VoIP,3,HIGH,HIGH,HIGH,1,1,1,0
160,1,-16.9161,0,0.0,0.0,17.1314,1.0,2,0,0,1,0,0,VoIP,3,HIGH,HIGH,HIGH,0,1,1,1
161,1,-13.1381,0,0.0,0.0,42.7314,1.0,3,234,0,1,0,0,VoIP,3,HIGH,LOW,LOW,0,1,1,1
162,1,-19.2954,0,0.0,0.0,94.6329,1.0,5,432,0,1,0,0,VoIP,3,HIGH,MEDIUM,MEDIUM,0,1,1,1
163,1,-29.2942,0,0.0,0.0,4.16667,1.0,4,408,0,1,0,0,VoIP,2,MEDIUM,MEDIUM,MEDIUM,0,0,1,1
164,1,-10.1841,0,0.019648,1067.53,16.7857,0.99,4,90,0,1,0,0,VoIP,4,HIGH,MEDIUM,MEDIUM,1,1,1,1
165,1,-16.2826,0,0.471552,152.607,23.5945,0.76,2,29,0,1,0,0,VoIP,3,HIGH,MEDIUM,MEDIUM,1,1,1,0
166,1,-20.6402,0,0.2456,161.829,29.6,0.875,4,453,0,1,0,0,VoIP,3,HIGH,MEDIUM,MEDIUM,1,1,1,0
167,1,-10.3866,0,0.019648,4.02856,13.9669,0.99,4,441,0,1,0,0,VoIP,3,HIGH,MEDIUM,MEDIUM,0,1,1,1
168,1,-5.0129,0,0.717152,101.488,10.2703,0.635,3,169,0,1,0,0,VoIP,3,HIGH,MEDIUM,MEDIUM,1,1,1,0
169,1,4.68463,10,1.90586,20.9343,2.62287,0.03,1,18,6,1,0,0,VoIP,1,MEDIUM,HIGH,HIGH,0,0,1,0
170,1,-28.8878,0,0.0,0.0,49.5566,1.0,5,560,0,1,0,0,VoIP,3,HIGH,MEDIUM,MEDIUM,0,1,1,1
171,1,13.112,20,0.314368,316.218,36.477,0.84,3,567,11,1,0,0,VoIP,3,HIGH,HIGH,HIGH,1,1,1,0
172,1,-21.4116,0,0.0,0.0,46.0672,1.0,3,77,0,1,0,0,VoIP,3,HIGH,MEDIUM,MEDIUM,0,1,1,1
173,1,-12.2144,0,0.383136,209.884,53.3568,0.805,8,351,0,1,0,0,VoIP,3,HIGH,HIGH,HIGH,1,1,1,0
174,1,-24.1212,0,0.235776,304.154,49.8824,0.88,7,430,0,1,0,0,VoIP,3,HIGH,HIGH,HIGH,1,1,1,0
175,1,5.36628,10,1.97322,10.3029,1.6017,0.0,3,2,6,1,0,0,VoIP,0,LOW,LOW,LOW,0,0,0,0
176,1,-15.2842,0,0.039296,701.457,93.0604,0.98,5,575,0,1,0,0,VoIP,4,HIGH,LOW,LOW,1,1,1,1
177,1,-9.57528,0,0.353664,196.533,15.5312,0.82,3,342,0,1,0,0,VoIP,3,HIGH,LOW,LOW,1,1,1,0
178,1,-9.57528,0,0.353664,196.533,15.5312,0.82,3,342,0,1,0,0,VoIP,3,HIGH,HIGH,HIGH,1,1,1,0
179,1,-10.2435,0,0.569792,148.32,43.5071,0.71,3,299,0,1,0,0,VoIP,3,HIGH,HIGH,HIGH,1,1,1,0
180,1,-22.7844,0,0.0,0.0,77.6376,1.0,4,178,0,1,0,0,VoIP,3,HIGH,HIGH,HIGH,0,1,1,1
181,1,-12.3173,0,0.334016,223.373,29.5002,0.83,4,185,0,1,0,0,VoIP,3,HIGH,MEDIUM,MEDIUM,1,1,1,0
182,1,-16.9161,0,0.0,0.0,17.1314,1.0,5,69,0,1,0,0,VoIP,3,HIGH,MEDIUM,MEDIUM,0,1,1,1
183,1,-13.1381,0,0.009824,1315.39,69.7234,0.995,3,340,0,1,0,0,VoIP,4,HIGH,MEDIUM,MEDIUM,1,1,1,1
184,1,-19.2954,0,0.0,0.0,94.6329,1.0,10,554,0,1,0,0,VoIP,3,HIGH,MEDIUM,MEDIUM,0,1,1,1
185,1,-27.957,0,0.235776,209.207,57.969,0.88,4,475,0,1,0,0,VoIP,3,HIGH,MEDIUM,MEDIUM,1,1,1,0
186,1,-10.1841,0,0.19648,362.293,18.8628,0.9,8,307,0,1,0,0,VoIP,3,HIGH,MEDIUM,MEDIUM,1,1,1,0
