window_idx,true_label,root_cause,recommended_action,score_isolation_forest,score_copod,score_xgboost_supervised
41,0,subtle_anomaly,monitor closely + collect more contextual data,0.4461194017505681,63.36511108872664,0.00015997858
42,0,subtle_anomaly,monitor closely + collect more contextual data,0.452246945162129,62.66347847057525,0.052469175
43,1,temporal_pattern_anomaly,analyze time-series behavior + review LSTM/Transformer features,0.4182219008996752,54.047376317087895,0.99971515
44,1,collective_anomaly,investigate multivariate patterns + check correlated KPIs,0.4974901420840896,91.43789186213768,0.9981318
45,1,temporal_pattern_anomaly,analyze time-series behavior + review LSTM/Transformer features,0.4370341570510781,69.46477429895917,0.9998702
46,0,subtle_anomaly,monitor closely + collect more contextual data,0.4074379520645594,47.94850361128452,3.825909e-05
47,0,subtle_anomaly,monitor closely + collect more contextual data,0.4368496158711902,62.71183949428808,2.1380807e-05
48,1,temporal_pattern_anomaly,analyze time-series behavior + review LSTM/Transformer features,0.4325078458612485,58.81573359145115,0.9999542
49,1,temporal_pattern_anomaly,analyze time-series behavior + review LSTM/Transformer features,0.4282483922117695,54.28328609743912,0.99975294
50,0,subtle_anomaly,monitor closely + collect more contextual data,0.4396499472080454,60.427807208491664,0.00020521127
51,1,temporal_pattern_anomaly,analyze time-series behavior + review LSTM/Transformer features,0.4466735505448922,61.236669610574594,0.99995065
52,0,subtle_anomaly,monitor closely + collect more contextual data,0.4387135664982958,61.62350524719167,2.3309374e-05
53,1,temporal_pattern_anomaly,analyze time-series behavior + review LSTM/Transformer features,0.4799645794002916,75.48129296685465,0.999956
54,0,subtle_anomaly,monitor closely + collect more contextual data,0.4165966194820971,55.8574542845672,3.9881827e-05
55,0,subtle_anomaly,monitor closely + collect more contextual data,0.4161978337237862,55.41831518059405,5.0275685e-05
56,0,subtle_anomaly,monitor closely + collect more contextual data,0.4250366003749785,53.63711657420046,0.00021233938
57,0,subtle_anomaly,monitor closely + collect more contextual data,0.4204370093080095,55.75361212889806,0.00020167936
58,0,subtle_anomaly,monitor closely + collect more contextual data,0.4260333304116178,59.270421667660734,0.0024164026
59,0,subtle_anomaly,monitor closely + collect more contextual data,0.3942768480335672,46.37064581731618,0.00023787806
60,0,subtle_anomaly,monitor closely + collect more contextual data,0.4782062681485226,72.8437054895406,0.00012764022
61,1,temporal_pattern_anomaly,analyze time-series behavior + review LSTM/Transformer features,0.3974639015050779,45.18362522501741,0.998747
62,1,temporal_pattern_anomaly,analyze time-series behavior + review LSTM/Transformer features,0.423467559119081,56.31229851799527,0.99991524
63,0,subtle_anomaly,monitor closely + collect more contextual data,0.3708133373928023,40.23732743366365,4.3451477e-05
64,0,subtle_anomaly,monitor closely + collect more contextual data,0.4386859280042198,58.891523095642064,5.5624452e-05
65,0,subtle_anomaly,monitor closely + collect more contextual data,0.4059133320839603,50.35088399651254,9.4841074e-05
66,1,temporal_pattern_anomaly,analyze time-series behavior + review LSTM/Transformer features,0.413304990434868,55.952965869124455,0.9999285
67,1,temporal_pattern_anomaly,analyze time-series behavior + review LSTM/Transformer features,0.3932111739186699,50.3296657912941,0.9999604
68,1,collective_anomaly,investigate multivariate patterns + check correlated KPIs,0.4938061799263687,81.61069497738016,0.9993918
69,1,temporal_pattern_anomaly,analyze time-series behavior + review LSTM/Transformer features,0.4400631259203498,63.57268341076795,0.99993145
70,0,subtle_anomaly,monitor closely + collect more contextual data,0.4440673571904219,61.98410508345968,0.0028684963
71,0,subtle_anomaly,monitor closely + collect more contextual data,0.4510464696084427,57.41231399038447,0.00028805886
72,0,subtle_anomaly,monitor closely + collect more contextual data,0.4725528193088565,66.24073716116732,6.9139234e-05
73,0,subtle_anomaly,monitor closely + collect more contextual data,0.4328188151721424,55.90273531167257,0.00035065398
74,0,subtle_anomaly,monitor closely + collect more contextual data,0.4661255293285595,67.26565488869862,5.904227e-05
75,0,subtle_anomaly,monitor closely + collect more contextual data,0.4497453596285861,67.35405791536328,0.00028117493
76,0,subtle_anomaly,monitor closely + collect more contextual data,0.4169678742555741,53.48918438098232,9.2091585e-05
77,0,subtle_anomaly,monitor closely + collect more contextual data,0.4641828117166673,67.86164944044585,0.00020495571
78,0,subtle_anomaly,monitor closely + collect more contextual data,0.446869742706882,55.4360485324075,0.01739647
79,1,temporal_pattern_anomaly,analyze time-series behavior + review LSTM/Transformer features,0.4219310735479867,60.582909741374536,0.99982375
80,0,subtle_anomaly,monitor closely + collect more contextual data,0.4568697885678733,60.358276821522566,0.00010011269
81,0,subtle_anomaly,monitor closely + collect more contextual data,0.4516447477216089,56.5549304367534,0.0003431068
82,1,temporal_pattern_anomaly,analyze time-series behavior + review LSTM/Transformer features,0.4109593332187283,48.81380633389358,0.99952495
83,0,subtle_anomaly,monitor closely + collect more contextual data,0.416318000682273,51.265177285671584,4.8655154e-05
84,1,collective_anomaly,investigate multivariate patterns + check correlated KPIs,0.5422323246525677,103.77445942867622,0.99944
85,1,temporal_pattern_anomaly,analyze time-series behavior + review LSTM/Transformer features,0.4331184006586611,65.83888595368715,0.99997425
86,1,collective_anomaly,investigate multivariate patterns + check correlated KPIs,0.5764757557888738,111.55235314349832,0.9990226
87,1,collective_anomaly,investigate multivariate patterns + check correlated KPIs,0.4909678167535283,85.0364908341795,0.9998118
88,0,subtle_anomaly,monitor closely + collect more contextual data,0.4758406819199497,74.12278764390989,0.0005326226
89,1,temporal_pattern_anomaly,analyze time-series behavior + review LSTM/Transformer features,0.4116773558709787,53.36207673726297,0.038058836
90,0,subtle_anomaly,monitor closely + collect more contextual data,0.4658807829184659,71.85577462370291,0.00010350867
91,0,subtle_anomaly,monitor closely + collect more contextual data,0.4133223436020935,49.0677328629429,0.00013127629
92,0,subtle_anomaly,monitor closely + collect more contextual data,0.408075865263627,50.69946817688253,0.00042809293
93,1,temporal_pattern_anomaly,analyze time-series behavior + review LSTM/Transformer features,0.4053865358054239,53.32945755810054,0.99727505
94,1,temporal_pattern_anomaly,analyze time-series behavior + review LSTM/Transformer features,0.4123363686635865,53.63242625551613,0.9998466
95,1,temporal_pattern_anomaly,analyze time-series behavior + review LSTM/Transformer features,0.423849579831345,53.18475862930868,0.9993855
96,0,subtle_anomaly,monitor closely + collect more contextual data,0.3928737383741585,47.25618072794396,4.5848778e-05
97,1,temporal_pattern_anomaly,analyze time-series behavior + review LSTM/Transformer features,0.3836012503468027,42.9530267828644,0.99951947
98,1,temporal_pattern_anomaly,analyze time-series behavior + review LSTM/Transformer features,0.4486695373242619,58.94079998323794,0.9999217
99,1,temporal_pattern_anomaly,analyze time-series behavior + review LSTM/Transformer features,0.4407325803927894,62.43144469507772,0.99995553
100,1,temporal_pattern_anomaly,analyze time-series behavior + review LSTM/Transformer features,0.4132224855595433,51.17826787188786,0.9998419
101,0,subtle_anomaly,monitor closely + collect more contextual data,0.4422506143845821,54.44497546175277,0.00052992906
102,0,subtle_anomaly,monitor closely + collect more contextual data,0.4151142151077319,58.463728094124974,0.0002763589
103,1,temporal_pattern_anomaly,analyze time-series behavior + review LSTM/Transformer features,0.4099455507423163,53.73854166383157,0.9998191
104,1,temporal_pattern_anomaly,analyze time-series behavior + review LSTM/Transformer features,0.4533899701382262,71.05431372150458,0.99988794
105,0,temporal_pattern_anomaly,analyze time-series behavior + review LSTM/Transformer features,0.3970514447443051,48.47758789872388,0.00025862706
106,1,temporal_pattern_anomaly,analyze time-series behavior + review LSTM/Transformer features,0.4284496010923779,56.00439887101459,0.99985754
107,1,temporal_pattern_anomaly,analyze time-series behavior + review LSTM/Transformer features,0.4023619421685196,47.22044822251495,0.9993837
108,0,subtle_anomaly,monitor closely + collect more contextual data,0.442901862595848,58.96452292883002,5.5140572e-05
109,1,temporal_pattern_anomaly,analyze time-series behavior + review LSTM/Transformer features,0.4386549337543768,53.65224017140306,0.99976534
110,0,isolation_outlier,inspect individual extreme values + check for sensor drift,0.4830955694676853,67.6433057755581,0.000117955635
111,0,subtle_anomaly,monitor closely + collect more contextual data,0.4086782964797197,50.707510551982615,0.00029695453
112,1,temporal_pattern_anomaly,analyze time-series behavior + review LSTM/Transformer features,0.3937202656984235,49.304354524161134,0.98658574
113,1,temporal_pattern_anomaly,analyze time-series behavior + review LSTM/Transformer features,0.4310215301365555,58.41239561230636,0.99994326
114,0,subtle_anomaly,monitor closely + collect more contextual data,0.4148409394165164,48.700202764052406,0.0055061243
115,0,subtle_anomaly,monitor closely + collect more contextual data,0.4431842842284015,58.55093933870926,5.5065113e-05
116,0,subtle_anomaly,monitor closely + collect more contextual data,0.4518336909969518,54.89921138326861,0.00012314598
117,0,subtle_anomaly,monitor closely + collect more contextual data,0.4395188817974472,53.12273849663978,0.00010770607
118,0,subtle_anomaly,monitor closely + collect more contextual data,0.4258629895623307,58.22649751185828,0.00036054672
119,0,subtle_anomaly,monitor closely + collect more contextual data,0.435688489964434,56.620860504675775,0.00014402538
120,0,subtle_anomaly,monitor closely + collect more contextual data,0.3905306128775929,42.39706877606661,0.00014426137
121,0,subtle_anomaly,monitor closely + collect more contextual data,0.4209551966523345,57.74367421378381,5.0458202e-05
122,0,subtle_anomaly,monitor closely + collect more contextual data,0.4217830375806436,56.27348225836078,4.2699397e-05
123,0,subtle_anomaly,monitor closely + collect more contextual data,0.4110544851134176,54.22598049099208,0.00035101353
124,1,temporal_pattern_anomaly,analyze time-series behavior + review LSTM/Transformer features,0.3862307159191693,47.96624207065479,0.99915004
125,1,temporal_pattern_anomaly,analyze time-series behavior + review LSTM/Transformer features,0.4500398852677518,62.3108532940114,0.9998192
126,0,subtle_anomaly,monitor closely + collect more contextual data,0.4764785780194502,62.95491757414543,0.00010217127
127,1,temporal_pattern_anomaly,analyze time-series behavior + review LSTM/Transformer features,0.4092348911077657,58.72126167612296,0.99991345
128,0,subtle_anomaly,monitor closely + collect more contextual data,0.454974261908493,61.360691235816255,0.00022078794
129,0,subtle_anomaly,monitor closely + collect more contextual data,0.4057466221162008,50.70887352692464,0.0011144542
130,1,temporal_pattern_anomaly,analyze time-series behavior + review LSTM/Transformer features,0.4185299215355245,50.41908134707439,0.999962
131,1,temporal_pattern_anomaly,analyze time-series behavior + review LSTM/Transformer features,0.4030675500688174,49.665903630088046,0.9998246
132,1,temporal_pattern_anomaly,analyze time-series behavior + review LSTM/Transformer features,0.4420870646926638,56.30295023989793,0.9997495
133,1,temporal_pattern_anomaly,analyze time-series behavior + review LSTM/Transformer features,0.4199297275156282,60.13407135172557,0.99996924
134,1,collective_anomaly,investigate multivariate patterns + check correlated KPIs,0.5072488356019956,90.39935159013116,0.9999361
135,0,subtle_anomaly,monitor closely + collect more contextual data,0.3931984779999513,46.80040315952996,2.648933e-05
136,0,subtle_anomaly,monitor closely + collect more contextual data,0.4329565034819415,57.79332060546346,0.00025415374
137,1,collective_anomaly,investigate multivariate patterns + check correlated KPIs,0.5041019589812157,85.72449221058926,0.9972677
138,0,subtle_anomaly,monitor closely + collect more contextual data,0.4411062618793481,49.572871282732585,0.00031817515
139,1,temporal_pattern_anomaly,analyze time-series behavior + review LSTM/Transformer features,0.3975780916250044,53.04995141503287,0.9999263
140,1,temporal_pattern_anomaly,analyze time-series behavior + review LSTM/Transformer features,0.4655465283531048,69.33729755527708,0.9998758
141,0,subtle_anomaly,monitor closely + collect more contextual data,0.4287677689473818,52.555411955168985,0.0011014784
142,1,collective_anomaly,investigate multivariate patterns + check correlated KPIs,0.5198358179120843,99.57355840452234,0.9992073
143,0,subtle_anomaly,monitor closely + collect more contextual data,0.4549789486048514,59.98661561046267,0.00081817014
144,1,temporal_pattern_anomaly,analyze time-series behavior + review LSTM/Transformer features,0.4397061109866251,55.94178116085013,0.99996006
145,0,subtle_anomaly,monitor closely + collect more contextual data,0.4348987993953391,59.41548311039059,0.000259355
146,1,temporal_pattern_anomaly,analyze time-series behavior + review LSTM/Transformer features,0.3968930117773188,52.3685327889859,0.9997861
147,0,subtle_anomaly,monitor closely + collect more contextual data,0.4447667877680554,63.46079658531784,0.00042695692
148,0,subtle_anomaly,monitor closely + collect more contextual data,0.4029594454681014,50.93968319388666,0.0009817282
149,0,subtle_anomaly,monitor closely + collect more contextual data,0.4355856516229941,55.35687379535004,0.0008809562
150,0,subtle_anomaly,monitor closely + collect more contextual data,0.4429854161886049,57.434308063747714,0.0013711002
151,0,subtle_anomaly,monitor closely + collect more contextual data,0.4359674050658041,64.85232423347553,3.968708e-05
152,0,subtle_anomaly,monitor closely + collect more contextual data,0.4370446503297714,59.99915165841936,6.512032e-05
153,1,temporal_pattern_anomaly,analyze time-series behavior + review LSTM/Transformer features,0.5164521536494171,79.45731646915594,0.9998791
154,0,subtle_anomaly,monitor closely + collect more contextual data,0.4075776975903841,46.96318820839121,0.00012689315
155,0,subtle_anomaly,monitor closely + collect more contextual data,0.4225044596863311,57.104426150215545,2.746897e-05
156,0,subtle_anomaly,monitor closely + collect more contextual data,0.4302910189069088,56.23754063753236,0.00019237511
157,0,subtle_anomaly,monitor closely + collect more contextual data,0.4604091865411981,63.79174617738733,0.00031596152
158,1,collective_anomaly,investigate multivariate patterns + check correlated KPIs,0.5832901136772789,127.77080539071886,0.99713045
159,1,temporal_pattern_anomaly,analyze time-series behavior + review LSTM/Transformer features,0.4332362434243988,55.82841101533151,0.99992967
160,0,temporal_pattern_anomaly,analyze time-series behavior + review LSTM/Transformer features,0.4157369741981643,58.46470997068562,0.057579353
161,0,subtle_anomaly,monitor closely + collect more contextual data,0.4093664896910173,48.39137619407084,0.00020955216
162,0,subtle_anomaly,monitor closely + collect more contextual data,0.3974735667740121,48.53286896665681,0.00021733646
163,1,temporal_pattern_anomaly,analyze time-series behavior + review LSTM/Transformer features,0.3928629835324415,54.94277314841812,0.999941
164,0,subtle_anomaly,monitor closely + collect more contextual data,0.4368828107657929,58.57686891002769,7.1706454e-05
165,0,subtle_anomaly,monitor closely + collect more contextual data,0.4358453442836536,53.909882449427165,6.0497347e-05
166,0,subtle_anomaly,monitor closely + collect more contextual data,0.409642470032754,51.08717405575136,0.00010776741
167,1,temporal_pattern_anomaly,analyze time-series behavior + review LSTM/Transformer features,0.4705891552512883,70.72185491311566,0.99911886
168,0,subtle_anomaly,monitor closely + collect more contextual data,0.4684505416514117,64.74429766789987,6.942776e-05
169,1,temporal_pattern_anomaly,analyze time-series behavior + review LSTM/Transformer features,0.4331336414908071,58.0106500297254,0.99991345
170,1,temporal_pattern_anomaly,analyze time-series behavior + review LSTM/Transformer features,0.4226571422573562,54.56776198309615,0.9999498
171,0,subtle_anomaly,monitor closely + collect more contextual data,0.4122667414428833,53.5782328425422,1.889624e-05
172,1,temporal_pattern_anomaly,analyze time-series behavior + review LSTM/Transformer features,0.4087745840083607,52.23213566829105,0.9995803
173,1,temporal_pattern_anomaly,analyze time-series behavior + review LSTM/Transformer features,0.4314442723433981,49.42033526233184,0.9997968
174,0,subtle_anomaly,monitor closely + collect more contextual data,0.4256845044017244,52.6162352394254,0.0006218547
175,1,temporal_pattern_anomaly,analyze time-series behavior + review LSTM/Transformer features,0.3919192503431733,45.50228018325272,0.99957293
176,0,subtle_anomaly,monitor closely + collect more contextual data,0.4481151814175094,63.4529346915322,8.79774e-05
177,0,subtle_anomaly,monitor closely + collect more contextual data,0.4157749339018668,47.09603954525526,0.0009509659
178,0,subtle_anomaly,monitor closely + collect more contextual data,0.4294941427151418,58.32369341269066,0.00018327411
179,0,subtle_anomaly,monitor closely + collect more contextual data,0.4500208847782489,58.89570388735254,0.00018130119
180,0,subtle_anomaly,monitor closely + collect more contextual data,0.4072188533338641,47.52104670969605,5.2704214e-05
181,1,temporal_pattern_anomaly,analyze time-series behavior + review LSTM/Transformer features,0.3817847710083372,43.83058899116778,0.9986125
182,1,temporal_pattern_anomaly,analyze time-series behavior + review LSTM/Transformer features,0.4069488486506526,51.29623293337973,0.9998995
183,0,subtle_anomaly,monitor closely + collect more contextual data,0.4173718261975627,51.64609135172696,0.00021699835
184,1,temporal_pattern_anomaly,analyze time-series behavior + review LSTM/Transformer features,0.434811546853751,60.157671578171936,0.9726451
185,1,temporal_pattern_anomaly,analyze time-series behavior + review LSTM/Transformer features,0.4318844679790882,66.46236214375897,0.9757572
186,1,temporal_pattern_anomaly,analyze time-series behavior + review LSTM/Transformer features,0.4174913051820698,57.735787935319706,0.9998803
187,0,subtle_anomaly,monitor closely + collect more contextual data,0.3878360966807029,44.68194184879904,5.080396e-05
188,0,collective_anomaly,investigate multivariate patterns + check correlated KPIs,0.4943097155777454,87.99075626510327,0.00038826352
189,1,collective_anomaly,investigate multivariate patterns + check correlated KPIs,0.5625214296751706,118.09740387521008,0.9995609
190,1,temporal_pattern_anomaly,analyze time-series behavior + review LSTM/Transformer features,0.4284666421695078,55.85114513533186,0.9999604
191,0,subtle_anomaly,monitor closely + collect more contextual data,0.4242689967128428,57.35785453812763,0.00025647623
192,0,subtle_anomaly,monitor closely + collect more contextual data,0.3783359476258924,43.11208067309192,0.0022331711
193,0,subtle_anomaly,monitor closely + collect more contextual data,0.3878217980510651,45.06515357836479,8.0440004e-05
194,0,subtle_anomaly,monitor closely + collect more contextual data,0.4160703670152614,59.15029150946194,0.0005097504
195,0,collective_anomaly,investigate multivariate patterns + check correlated KPIs,0.4961418728587918,89.99506491473083,0.019236863
196,0,subtle_anomaly,monitor closely + collect more contextual data,0.4154251833424845,48.96136930960011,0.0076891063
197,0,subtle_anomaly,monitor closely + collect more contextual data,0.3960019061006465,50.58553714691009,0.00092785916
198,0,subtle_anomaly,monitor closely + collect more contextual data,0.3931990343465714,43.94573939497639,3.6352616e-05
199,1,collective_anomaly,investigate multivariate patterns + check correlated KPIs,0.5391865369094384,104.39711429805276,0.9988158
200,0,subtle_anomaly,monitor closely + collect more contextual data,0.423191619941945,53.9506828230094,0.0049351696
201,1,collective_anomaly,investigate multivariate patterns + check correlated KPIs,0.5332994468224503,103.53635821350964,0.9999497
202,1,temporal_pattern_anomaly,analyze time-series behavior + review LSTM/Transformer features,0.393538416549909,46.28404589371687,0.99984384
203,1,temporal_pattern_anomaly,analyze time-series behavior + review LSTM/Transformer features,0.4435420321861817,56.506991946942776,0.9998479
204,0,subtle_anomaly,monitor closely + collect more contextual data,0.4094765443042525,53.385847802016286,0.0019755804
205,0,subtle_anomaly,monitor closely + collect more contextual data,0.3813634957388998,41.88502541806988,0.00011018966
206,1,temporal_pattern_anomaly,analyze time-series behavior + review LSTM/Transformer features,0.4632628266127714,61.24558941464565,0.99995375
207,0,subtle_anomaly,monitor closely + collect more contextual data,0.4216161290301543,64.72871135904026,0.0026524654
208,1,temporal_pattern_anomaly,analyze time-series behavior + review LSTM/Transformer features,0.4003553625455834,54.62277784579379,0.9999658
209,0,subtle_anomaly,monitor closely + collect more contextual data,0.4277523372226242,56.19132328180278,2.8200277e-05
210,1,temporal_pattern_anomaly,analyze time-series behavior + review LSTM/Transformer features,0.403420550423712,47.76030370198546,0.9983266
211,0,subtle_anomaly,monitor closely + collect more contextual data,0.4395062460773726,59.21630868259182,0.000102343656
212,1,temporal_pattern_anomaly,analyze time-series behavior + review LSTM/Transformer features,0.4328411387194961,61.06535817968128,0.9999348
213,0,subtle_anomaly,monitor closely + collect more contextual data,0.43808615757907,65.71718369865059,7.1596376e-05
214,1,temporal_pattern_anomaly,analyze time-series behavior + review LSTM/Transformer features,0.3988227677071852,53.496314517972266,0.994317
215,1,temporal_pattern_anomaly,analyze time-series behavior + review LSTM/Transformer features,0.4081935513241733,54.59632539638661,0.9999348
216,0,subtle_anomaly,monitor closely + collect more contextual data,0.4292861788872449,56.1655589030152,8.305752e-05
217,1,temporal_pattern_anomaly,analyze time-series behavior + review LSTM/Transformer features,0.3867801798898579,47.46895593273663,0.9997646
218,0,subtle_anomaly,monitor closely + collect more contextual data,0.4788701513661211,72.69545848519512,0.00057070586
219,0,subtle_anomaly,monitor closely + collect more contextual data,0.4173893474086539,54.098224647165054,8.71973e-05
220,0,subtle_anomaly,monitor closely + collect more contextual data,0.4264970509064415,47.249821675054825,0.0018351175
221,0,subtle_anomaly,monitor closely + collect more contextual data,0.4551092318503353,59.95125045453692,0.00015845087
222,0,subtle_anomaly,monitor closely + collect more contextual data,0.4359470106006539,56.8168719318726,0.0009632706
223,1,temporal_pattern_anomaly,analyze time-series behavior + review LSTM/Transformer features,0.4095277459542365,48.69281605045745,0.9984213
224,0,subtle_anomaly,monitor closely + collect more contextual data,0.3955831684442898,48.44832964751995,0.00020483515
225,1,collective_anomaly,investigate multivariate patterns + check correlated KPIs,0.568610837435359,113.49790259228686,0.99800664
226,0,subtle_anomaly,monitor closely + collect more contextual data,0.3916230735421359,48.318032191165294,0.00010603319
227,1,temporal_pattern_anomaly,analyze time-series behavior + review LSTM/Transformer features,0.4789578806159998,75.08418487730778,0.9998803
228,1,temporal_pattern_anomaly,analyze time-series behavior + review LSTM/Transformer features,0.4402074180002215,57.28786172904646,0.92655045
229,1,temporal_pattern_anomaly,analyze time-series behavior + review LSTM/Transformer features,0.4363426635471191,59.48169740807651,0.9999038
230,1,temporal_pattern_anomaly,analyze time-series behavior + review LSTM/Transformer features,0.4386980383029932,56.12547830503551,0.999918
231,0,subtle_anomaly,monitor closely + collect more contextual data,0.4218924314760147,54.38114493305805,0.00041675524
232,1,temporal_pattern_anomaly,analyze time-series behavior + review LSTM/Transformer features,0.4580511951360255,67.66999919535814,0.999946
233,1,temporal_pattern_anomaly,analyze time-series behavior + review LSTM/Transformer features,0.4619499542308462,64.28272800556638,0.99991
234,0,subtle_anomaly,monitor closely + collect more contextual data,0.4052775041789128,51.15731644403824,0.00046527738
235,1,temporal_pattern_anomaly,analyze time-series behavior + review LSTM/Transformer features,0.4269376184544292,58.26597660528377,0.9999057
236,1,temporal_pattern_anomaly,analyze time-series behavior + review LSTM/Transformer features,0.4636409288501621,63.33529967030387,0.9999572
237,0,subtle_anomaly,monitor closely + collect more contextual data,0.4031437610052085,52.52592202173306,1.6471371e-05
238,1,temporal_pattern_anomaly,analyze time-series behavior + review LSTM/Transformer features,0.4459089212212063,66.067272944673,0.9988782
239,1,temporal_pattern_anomaly,analyze time-series behavior + review LSTM/Transformer features,0.4053505118796822,48.60102093508097,0.99945253
240,0,subtle_anomaly,monitor closely + collect more contextual data,0.4424937509552201,55.81490918574116,0.0030393417
241,1,temporal_pattern_anomaly,analyze time-series behavior + review LSTM/Transformer features,0.4031410438460211,51.43570197354872,0.9994618
242,1,temporal_pattern_anomaly,analyze time-series behavior + review LSTM/Transformer features,0.4369376651467844,68.54899047944392,0.99983644
243,0,subtle_anomaly,monitor closely + collect more contextual data,0.4540682280118524,57.43924873854738,9.102815e-05
244,0,subtle_anomaly,monitor closely + collect more contextual data,0.4124155273136631,52.07025854429373,5.495301e-05
245,0,subtle_anomaly,monitor closely + collect more contextual data,0.4470736356619765,63.64948574862249,0.0003341002
246,0,subtle_anomaly,monitor closely + collect more contextual data,0.3786563325902257,46.8039558144792,0.00020303536
247,0,isolation_outlier,inspect individual extreme values + check for sensor drift,0.4960898376164257,76.74713696566671,0.0002565978
